epoch,train_loss,train_acc,val_loss,val_acc
1,1.6955288350139825,0.44036755186459947,1.6938808423970717,0.3864734299516908
2,1.540166409057288,0.4963844769332786,1.5947649555911019,0.5052782250849883
3,1.4760917382431669,0.5204774385045312,1.8233978715474457,0.4838074789765611
4,1.4355348355543731,0.5350658372540971,1.4071365123487027,0.5415995705850778
5,1.4045470820486898,0.5465597271779974,1.5344782241620623,0.4521381284666309
6,1.3753309766442734,0.5574852379298367,1.4386470014111772,0.5387368044372876
7,1.3520128664736564,0.5656635826833812,1.4663179241324777,0.5271068169618894
8,1.2902217709444865,0.5884934794278316,1.32352596377405,0.607085346215781
9,1.2747589150205056,0.5984716915595693,1.2675162972267506,0.6031490427625693
10,1.2560020704355837,0.5989453408696201,1.209813691930281,0.6360708534621579
11,1.2393456046516298,0.6040291767974991,1.3436273327665522,0.5593129361245304
12,1.2314106566027632,0.6065553064511036,1.2052916501881847,0.591876901055645
13,1.2196669043881512,0.6151757238940289,1.57587642246505,0.5072463768115942
14,1.201848228389785,0.6158388329281,1.2103362725446083,0.613884415816783
15,1.1959719545987495,0.6193438378224763,1.481817218501872,0.5619967793880838
16,1.1586626747521864,0.6381635037418295,1.0953538193645536,0.6596886741814278
17,1.150813761256658,0.637310934983738,1.1004257703599574,0.6616568259080337
18,1.1411346842241437,0.6371530518803877,1.0878419545281657,0.6573626766863482
19,1.1287181428867865,0.641258012567495,1.1555477164473766,0.6491322240114511
20,1.1215893916190263,0.6444788278758408,1.173198249754272,0.6487743782429772
21,1.1178247767811629,0.646310271874704,1.1039170250523216,0.6421542315262122
22,1.0968928889422125,0.6512362246992327,1.0212757867272884,0.6854535695115406
23,1.0957687959630669,0.652499289526035,1.0217057180054863,0.6877795670066201
24,1.083315340629213,0.6578673150399444,1.0074654988641922,0.6935050993022007
25,1.0813680524313212,0.6591303798667466,1.0014855167396082,0.6967257112184648
