feature_path,label,y,source
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19265925.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19265927.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19265928.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_20190221.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_20190222.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_20190224.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19979574.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19979575.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19979576.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19952828.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19952829.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19952830.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_20938700.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_20938701.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_20938702.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_140507.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_140508.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19732787.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19732788.npy,single_speaker,2,common_voice
C:\Users\tim3l\Documents\GitHub\Surround-Sound-Prototype\SurroundSound\data\speech\processed\features\cv_common_voice_en_19732789.npy,single_speaker,2,common_voice
